Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Time lost to get Storage, Actual time, Notes 
0x31d8e8b5cea7c8d38e845ba450f7b114cc41c0f8, 1526, 108, 103, 2, 2, 107, 1, 0, 0.9907407407407407, 2465, 0, 2465, ss: 32 sss: 32 
0x771b3211159ae50a12264d77256b476d0efadbe6, 2404, 226, 206, 3, 15, 224, 2, 0, 0.9911504424778761, 12401, 0, 12401, ss: 32 sss: 32 
0x03a6059a5427fc6a4784baea42ac8b7228b4cda2, 1911, 173, 156, 2, 10, 168, 5, 0, 0.9710982658959537, 10051, 0, 10051, ss: 32 sss: 32 
0x0c8e5c1f5c5e986d5e480c259d9dbccc4cda8765, 2550, 195, 185, 2, 7, 194, 1, 0, 0.9948717948717949, 6388, 0, 6388, ss: 32 sss: 32 
0x0aa40906800717C71c62Df911b186817F542763D, 2915, 273, 236, 3, 28, 267, 6, 0, 0.978021978021978, 20782, 0, 20782, ss: 32 sss: 32 
0xc5a52cdc14b69085ec330499458a848f2dca20f3, 1496, 107, 102, 1, 3, 106, 1, 0, 0.9906542056074766, 3670, 0, 3670, ss: 32 sss: 32 
0x19cf8dc98772ffa09ff23e04d6053c97729c077a, 2404, 226, 206, 3, 15, 224, 2, 0, 0.9911504424778761, 12885, 0, 12885, ss: 32 sss: 32 
0xd2c59781f1db84080a0592ce83fe265642a4a8eb, 203, 15, 15, 0, 0, 15, 0, 0, 1.0, 14, 0, 14, ss: 32 sss: 32 
0xabdbb362316288fdd320d55a6490ab0fc04427bc, 1800, 131, 127, 1, 2, 130, 1, 0, 0.9923664122137404, 6990, 0, 6990, ss: 32 sss: 32 
0x175ac16e9703b96721fd6ee785defff9c892eeca, 2574, 184, 175, 2, 6, 183, 1, 0, 0.9945652173913043, 4391, 0, 4391, ss: 32 sss: 32 
0x1920cd993650b1b51162842b2569b59a09891cf5, 1890, 171, 154, 1, 11, 166, 5, 0, 0.9707602339181286, 9927, 0, 9927, ss: 32 sss: 32 
0xfb4e98a54710e1305043257e7c44c3cc67b0da3a, 1731, 124, 120, 2, 1, 123, 1, 0, 0.9919354838709677, 3849, 0, 3849, ss: 32 sss: 32 
0xc125e481ae44f8af49a1a098739e4903c60ecac7, 1496, 107, 102, 1, 3, 106, 1, 0, 0.9906542056074766, 3778, 0, 3778, ss: 32 sss: 32 
0x64e3af2e74bf5da53a7e40cf7b28f5acec2ac1cc, 1916, 153, 136, 2, 12, 150, 3, 0, 0.9803921568627451, 10456, 0, 10456, ss: 32 sss: 32 
0xAe411c69c30de029644a29F9473BEB1ACf5D8bB0, 2817, 245, 216, 1, 19, 236, 9, 0, 0.963265306122449, 22568, 0, 22568, ss: 32 sss: 32 
