tool,bridge,vulnerability_type,file,contract,function,type,notes
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,forward(bytes),TP,"it calls `_newVote`, unchecked function arguments"
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock.sol,,mockDecreaseTime(uint256),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,TimeHelpersMock.sol,,mockDecreaseTime(uint256),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock.sol,,mockSetTimestamp(uint256),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,TimeHelpersMock.sol,,mockSetTimestamp(uint256),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory_1.sol,,"newAPM(bytes32,bytes32,address)",TP,unchecked `_root`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory.sol,,"newAPM(bytes32,bytes32,address)",TP,unchecked `_root`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory_1.sol,,newDAO(address),TP,unchecked `_root`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Imports.sol,,newDAO(address),TP,unchecked `_root`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory.sol,,newDAO(address),TP,unchecked `_root`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,DAOFactory.sol,,newDAO(address),TP,unchecked `_root`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,TestImports.sol,,newDAO(address),TP,unchecked `_root`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory_1.sol,,newENS(address),TP,unchecked `_owner`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory.sol,,newENS(address),TP,unchecked `_owner`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,ENSFactory.sol,,newENS(address),TP,unchecked `_owner`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,EVMScriptRegistryFactory.sol,,newEVMScriptRegistry(address),TP,unchecked `_dao`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory_1.sol,,newEVMScriptRegistry(address),TP,unchecked `_dao`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Imports.sol,,newEVMScriptRegistry(address),TP,unchecked `_dao`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,APMRegistryFactory.sol,,newEVMScriptRegistry(address),TP,unchecked `_dao`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,DAOFactory.sol,,newEVMScriptRegistry(address),TP,unchecked `_dao`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,TestImports.sol,,newEVMScriptRegistry(address),TP,unchecked `_dao`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,"newVote(bytes,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,"newVote(bytes,string,bool)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,"onRegisterAsHook(uint256,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,"onRegisterAsHook(uint256,address)",TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,TokenMock.sol,,setAllowTransfer(bool),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,Imports.sol,,setAllowTransfer(bool),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,ExecutionTarget.sol,,setCounter(uint256),TP,unchecked function arguments
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,"vote(uint256,bool)",TP,unchecked `_voter`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,"vote(uint256,bool)",TP,unchecked `_voter`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_1.sol,,"voteFor(uint256,bool,bytes)",TP,unchecked `_supports`
xEVMLiSA,pNetwork20210920,access_control_incompleteness,VotingMock_2.sol,,"voteFor(uint256,bool,bytes)",TP,unchecked `_supports`
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,"approve(address,uint256)",TP,unchecked `value`
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,"cancelAuthorization(address,bytes32,uint8,bytes32,bytes32)",FP,
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `value`
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,"increaseAllowance(address,uint256)",TP,unchecked `value`
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,"initialize(string,string,string,uint8,address,address,address,address)",TP,unchecked function arguments
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,initializeV2_1(address),TP,unchecked function arguments
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,initializeV2(string),TP,unchecked function arguments
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,"permit(address,address,uint256,uint256,uint8,bytes32,bytes32)",FP,
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,"receiveWithAuthorization(address,address,uint256,uint256,uint256,bytes32,uint8,bytes32,bytes32)",FP,
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,"transfer(address,uint256)",FP,
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,"transferFrom(address,address,uint256)",FP,
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,FiatTokenV2.sol,,"transferWithAuthorization(address,address,uint256,uint256,uint256,bytes32,uint8,bytes32,bytes32)",FP,
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,PolyNFTLockProxy.sol,,"onERC721Received(address,address,uint256,bytes)",TP,unchecked function arguments
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,PolyNFTWrapper.sol,,"lock(address,uint64,address,uint256,address,uint256,uint256)",TP,unchecked function arguments
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,PolyNFTWrapper.sol,,"speedUp(address,bytes,uint256)",TP,unchecked `fee`
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,TetherToken_label.sol,,"approve(address,uint256)",TP,unchecked `value`
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,TetherToken_label.sol,,"transfer(address,uint256)",TP,unchecked function arguments
xEVMLiSA,PolyNetwork20210810,access_control_incompleteness,TetherToken_label.sol,,"transferFrom(address,address,uint256)",TP,unchecked function arguments
xEVMLiSA,QANXBridge20220518,access_control_incompleteness,BridgeQANX-label.sol,,"setSigner(address,uint256)",TP,unchecked `limit`
xEVMLiSA,Rubic20221225,access_control_incompleteness,RubicProxy-label.sol,,"renounceRole(bytes32,address)",TP,"it calls `hasRole()`, unchecked function arguments"
xEVMLiSA,Rubic20221225,access_control_incompleteness,RubicProxy-label.sol,,collectIntegratorFee(address),TP,unchecked `_integrator`
xEVMLiSA,Rubic20221225,access_control_incompleteness,RubicProxy-label.sol,,"grantRole(bytes32,address)",TP,"it calls `hasRole()`, unchecked function arguments"
xEVMLiSA,Rubic20221225,access_control_incompleteness,RubicProxy-label.sol,,"routerCallNative((address,uint256,uint256,address,uint256,address,address,address),bytes)",TP,unchecked `data`
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"deposit(address,uint256,address,uint256)",TP,unchecked function arguments
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"withdrawFees(address,address)",FP,
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"withdrawAndRemove(address,address,uint256,uint256,address,uint8,uint256,uint256,bytes32)",TP,unchecked function arguments
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,setWethAddress(address),TP,unchecked function arguments
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,setChainGasAmount(uint256),TP,unchecked function arguments
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"mintAndSwap(address,address,uint256,uint256,address,uint8,uint8,uint256,uint256,bytes32)",TP,unchecked function arguments
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"renounceRole(bytes32,address)",TP,unchecked `role`
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"redeemV2(bytes32,uint256,address,uint256)",TP,unchecked function arguments
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"mint(address,address,uint256,uint256,bytes32)",TP,unchecked `amount`
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"depositAndSwap(address,uint256,address,uint256,uint8,uint8,uint256,uint256)",TP,external call with unchecked arguments
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"redeemAndSwap(address,uint256,address,uint256,uint8,uint8,uint256,uint256)",TP,unchecked function arguments
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"grantRole(bytes32,address)",TP,unchecked `role`
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"revokeRole(bytes32,address)",TP,unchecked `role`
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"withdraw(address,address,uint256,uint256,bytes32)",TP,unchecked `to`
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"redeem(address,uint256,address,uint256)",TP,unchecked function arguments
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,addKappas(bytes32[]),TP,unchecked function arguments
xEVMLiSA,Synapse20211106,access_control_incompleteness,SynapseBridge.sol,,"redeemAndRemove(address,uint256,address,uint256,uint8,uint256,uint256)",TP,unchecked function arguments
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_1.sol,,"deposit(address,address,uint256,string)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_5.sol,,"deposit(address,address,uint256,string)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,RUNE_Bridge.sol,,"deposit(uint256,string)",TP,"unchecked `msg.sender`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,Incentives_1.sol,,"depositIncentives(address,uint256)",TP,unchecked function arguments
xEVMLiSA,THORChain20210629,access_control_incompleteness,Incentives_2.sol,,"depositIncentives(address,uint256)",TP,unchecked function arguments
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_1.sol,,"depositWithExpiry(address,address,uint256,string,uint256)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_5.sol,,"depositWithExpiry(address,address,uint256,string,uint256)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_1.sol,,"returnVaultAssets(address,address,(address,uint256)[],string)",TP,"unchecked `asgard`, `coins`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_5.sol,,"returnVaultAssets(address,address,(address,uint256)[],string)",TP,"unchecked `asgard`, `coins`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_1.sol,,"transferAllowance(address,address,address,uint256,string)",TP,"unchecked `newVault`, `asset`, `amount`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_5.sol,,"transferAllowance(address,address,address,uint256,string)",TP,"unchecked `newVault`, `asset`, `amount`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_1.sol,,"transferOut(address,address,uint256,string)",TP,"unchecked `amount`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_5.sol,,"transferOut(address,address,uint256,string)",TP,"unchecked `amount`, `memo`"
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_1.sol,,"transferOutAndCall(address,address,address,uint256,string)",TP,external call with unchecked arguments
xEVMLiSA,THORChain20210629,access_control_incompleteness,THORChain_Router_5.sol,,"transferOutAndCall(address,address,address,uint256,string)",TP,external call with unchecked arguments
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router_1.sol,,"deposit(address,address,uint256,string)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router-label.sol,,"deposit(address,address,uint256,string)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,RUNE_Bridge.sol,,"deposit(uint256,string)",TP,"unchecked `msg.sender`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,Incentives_1.sol,,"depositIncentives(address,uint256)",TP,unchecked function arguments
xEVMLiSA,THORChain20210716,access_control_incompleteness,Incentives_2.sol,,"depositIncentives(address,uint256)",TP,unchecked function arguments
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router_1.sol,,"depositWithExpiry(address,address,uint256,string,uint256)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router-label.sol,,"depositWithExpiry(address,address,uint256,string,uint256)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router_1.sol,,"returnVaultAssets(address,address,(address,uint256)[],string)",TP,"unchecked `asgard`, `coins`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router-label.sol,,"returnVaultAssets(address,address,(address,uint256)[],string)",TP,"unchecked `asgard`, `coins`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router_1.sol,,"transferAllowance(address,address,address,uint256,string)",TP,"unchecked `newVault`, `asset`, `amount`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router-label.sol,,"transferAllowance(address,address,address,uint256,string)",TP,"unchecked `newVault`, `asset`, `amount`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router_1.sol,,"transferOut(address,address,uint256,string)",TP,"unchecked `amount`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router-label.sol,,"transferOut(address,address,uint256,string)",TP,"unchecked `amount`, `memo`"
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router_1.sol,,"transferOutAndCall(address,address,address,uint256,string)",TP,external call with unchecked arguments
xEVMLiSA,THORChain20210716,access_control_incompleteness,THORChain_Router-label.sol,,"transferOutAndCall(address,address,address,uint256,string)",TP,external call with unchecked arguments
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router_1.sol,,"deposit(address,address,uint256,string)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router-label.sol,,"deposit(address,address,uint256,string)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,RUNE_Bridge.sol,,"deposit(uint256,string)",TP,"unchecked `msg.sender`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,Incentives_1.sol,,"depositIncentives(address,uint256)",TP,unchecked function arguments
xEVMLiSA,THORChain20210723,access_control_incompleteness,Incentives_2.sol,,"depositIncentives(address,uint256)",TP,unchecked function arguments
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router_1.sol,,"depositWithExpiry(address,address,uint256,string,uint256)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router-label.sol,,"depositWithExpiry(address,address,uint256,string,uint256)",TP,"unchecked `vault`, `amount`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router_1.sol,,"returnVaultAssets(address,address,(address,uint256)[],string)",TP,"unchecked `asgard`, `coins`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router-label.sol,,"returnVaultAssets(address,address,(address,uint256)[],string)",TP,"unchecked `asgard`, `coins`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router_1.sol,,"transferAllowance(address,address,address,uint256,string)",TP,"unchecked `newVault`, `asset`, `amount`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router-label.sol,,"transferAllowance(address,address,address,uint256,string)",TP,"unchecked `newVault`, `asset`, `amount`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router_1.sol,,"transferOut(address,address,uint256,string)",TP,"unchecked `amount`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router-label.sol,,"transferOut(address,address,uint256,string)",TP,"unchecked `amount`, `memo`"
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router_1.sol,,"transferOutAndCall(address,address,address,uint256,string)",TP,external call with unchecked arguments
xEVMLiSA,THORChain20210723,access_control_incompleteness,THORChain_Router-label.sol,,"transferOutAndCall(address,address,address,uint256,string)",TP,external call with unchecked arguments
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,tot warning,319,
,,,,,TP,301,
,,,,,FP,18,
,,,,,,,
,,,,,precision,"94,36%",
,,,,,recall,100%,
