tool,bridge,vulnerability_type,file,contract,function,type,notes
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,"removeWhitelist(address,address[])",TP,unchecked `_whitelist`
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,"retryExec(bytes32,address,uint256,uint256)",TP,unchecked function arguments
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,tidyHistoryWhitelist(string),TP,unchecked function arguments
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,"updateAppConfig(address,address,uint256,address[])",TP,unchecked `_flags`
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,"upgradeApp(address,address)",FP,
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy.sol,,"addWhitelist(address,address[])",TP,unchecked `_whitelist`
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy.sol,,"anyCall(address,bytes,address,uint256,uint256)",TP,"unchecked `_to`, `_toChainID`, `_data`"
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy.sol,,deposit(address),TP,unchecked function arguments
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy.sol,,"removeWhitelist(address,address[])",TP,unchecked `_whitelist`
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy.sol,,"retryExec(bytes32,address,uint256,uint256)",TP,unchecked function arguments
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy.sol,,tidyHistoryWhitelist(string),TP,unchecked function arguments
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy.sol,,"updateAppConfig(address,address,uint256,address[])",TP,unchecked `_flags`
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy.sol,,"upgradeApp(address,address)",FP,
xEVMLiSA,Multichain20230215,access_control_incompleteness,AnyswapV6CallProxy.sol,,withdraw(uint256),TP,unchecked function arguments
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils_1.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_2.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwap.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken_1.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,LPToken.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,AmplificationUtils.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils-label.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,MetaSwapUtils-label.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,Swap.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,Nerve20211115,access_control_incompleteness,SwapUtils_1.sol,,burn(uint256),TP,unchecked `amount`
