Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0x2aecf16ea4b4036123f43da94cf4e3e4d0a2a293, 1823, 90, 88, 2, 0, 90, 0, 0, 1.0, 3886, ss: 17 sss: 32 
0xb498a4a72573b32bd77ea060b8487990f7c15286, 1485, 116, 114, 2, 0, 116, 0, 0, 1.0, 9851, ss: 17 sss: 32 
0xc1749c8eae1af9c3ea21816743ab406e238d0f90, 1507, 107, 104, 3, 0, 107, 0, 0, 1.0, 4291, ss: 17 sss: 32 
0x46Fa005E07e51732778A3745145B0D29AD5d7167, 1937, 100, 87, 13, 0, 100, 0, 0, 1.0, 616, ss: 17 sss: 32 
0x66251a68d34fffc0fe2d78bae90a8e5311859a0e, 1511, 108, 104, 4, 0, 108, 0, 0, 1.0, 5192, ss: 17 sss: 32 
0x7db975750660de45d73ca1fed00b35a8dfd784df, 1514, 107, 104, 3, 0, 107, 0, 0, 1.0, 4257, ss: 17 sss: 32 
0xe95e4f6A61a8acf0EB779B29056458DFA8Dcc733, 2840, 245, 205, 40, 0, 245, 0, 0, 1.0, 10702, ss: 17 sss: 32 
0xe4bb489733d577545eee6935dbacd5db230cd5f9, 1520, 107, 104, 3, 0, 107, 0, 0, 1.0, 4736, ss: 17 sss: 32 
0xb4066ded5bab002ca19fb49a2335926ae00e7b46, 1583, 108, 107, 1, 0, 108, 0, 0, 1.0, 23847, ss: 17 sss: 32 
0x609ce00aec360ddc7380d920d0abf29a2f4bfe0a, 1515, 107, 104, 3, 0, 107, 0, 0, 1.0, 4027, ss: 17 sss: 32 
0x07bf306aade228919b123d799c075d2ba627ad79, 1840, 133, 132, 1, 0, 133, 0, 0, 1.0, 19503, ss: 17 sss: 32 
0x88484cba4988dcc2921829923212081bd696cece, 1999, 158, 132, 26, 0, 158, 0, 0, 1.0, 16438, ss: 17 sss: 32 
0xb8da770db50143210d6904f30e9468c6e80446ef, 2862, 276, 239, 37, 0, 276, 0, 0, 1.0, 6808, ss: 17 sss: 32 
0xf689818d07ac53488ced7fca5a79e1456a7d4695, 1056, 75, 72, 3, 0, 75, 0, 0, 1.0, 704, ss: 17 sss: 32 
0x079e29de1a55867d6236b384b865b7a5ec5f08c8, 1614, 114, 112, 2, 0, 114, 0, 0, 1.0, 17645, ss: 17 sss: 32 
0x8856c37965283bdd00c9c98e12bd63c673126c1a, 2610, 185, 177, 8, 0, 185, 0, 0, 1.0, 16311, ss: 17 sss: 32 
0x465d83a3bd174b4eb27fa39e3186a641e5a61ff8, 1510, 107, 104, 3, 0, 107, 0, 0, 1.0, 4383, ss: 17 sss: 32 
0xfcad7faeb334462a5541bc6959197c1d3cd2e2e5, 2124, 197, 155, 42, 0, 197, 0, 0, 1.0, 2671, ss: 17 sss: 32 
0x91616468237b7ee834e7d1b91f92551126021157, 1770, 140, 139, 1, 0, 140, 0, 0, 1.0, 20946, ss: 17 sss: 32 
0x2Ece2318109E56459Cba4788695B349ACCDA5841, 2931, 273, 229, 44, 0, 273, 0, 0, 1.0, 45613, ss: 17 sss: 32 
0x10bf82fe7c65f7c222b67cb2b5d84e0150cbebd9, 1394, 110, 109, 1, 0, 110, 0, 0, 1.0, 7633, ss: 17 sss: 32 
0x6a8d47c46E28DB7637190C0A8f50C15F8047A094, 2162, 175, 172, 3, 0, 175, 0, 0, 1.0, 15814, ss: 17 sss: 32 
0x201c00ba25cAc8e8FC23F001B1b6095094998c31, 1380, 107, 103, 4, 0, 107, 0, 0, 1.0, 101, ss: 17 sss: 32 
0xfeb669045652b62cEF47ecFd286d39e4730f51b3, 1315, 87, 86, 1, 0, 87, 0, 0, 1.0, 11489, ss: 17 sss: 32 
0x7b7505c17998d1810008e2dc315f21f0d58c3195, 1366, 96, 95, 1, 0, 96, 0, 0, 1.0, 10565, ss: 17 sss: 32 
0xe22c1226d88672595aec3d476053140465638228, 1586, 107, 106, 1, 0, 107, 0, 0, 1.0, 18944, ss: 17 sss: 32 
0x5e8359f5dd816a8833f990b179f179357b928a61, 1504, 107, 104, 3, 0, 107, 0, 0, 1.0, 4112, ss: 17 sss: 32 
0x67ced5df66a3635c6dc21de92fd0dba78703bbfe, 1538, 101, 100, 1, 0, 101, 0, 0, 1.0, 15922, ss: 17 sss: 32 
0x838a72e1dc465e110409a879e0ac73c6292ed494, 1539, 107, 104, 3, 0, 107, 0, 0, 1.0, 5468, ss: 17 sss: 32 
0x2699cbe5fb7a026509ec892ddfb21c39d1b190cb, 1530, 107, 104, 3, 0, 107, 0, 0, 1.0, 5575, ss: 17 sss: 32 
0x817f844137e9f95da69299dfc2fb99ba9dbf5223, 1381, 99, 98, 1, 0, 99, 0, 0, 1.0, 17737, ss: 17 sss: 32 
0x0fd49f8ab613492c3f4b009106d9e479118e0fea, 1929, 173, 149, 24, 0, 173, 0, 0, 1.0, 11855, ss: 17 sss: 32 
0x358f4decfda82c20c6bd274bde087613c48a1c75, 2830, 245, 205, 40, 0, 245, 0, 0, 1.0, 11535, ss: 17 sss: 32 
